phase,speed_profile,altitude_profile,bs_density_profile,policy,mean_handovers,mean_ping_pong,mean_interruption_s,mean_latency_violations,service_success_rate_pct,mean_throughput_mbps,mean_sinr_db,sample_size
growth,high,high,dense,proactive,18.080645161290324,5.903225806451613,0.6064838709677419,462.5967741935484,5.798394290811775,8.450645161290323,1.0433870967741936,62
growth,high,high,dense,reactive,44.435483870967744,25.56451612903226,4.821423548387097,484.4193548387097,0.0,9.400645161290322,2.5453225806451614,62
growth,high,high,sparse,proactive,12.96774193548387,4.532258064516129,0.44348387096774194,413.30645161290323,3.482587064676617,10.644193548387097,5.053387096774194,62
growth,high,high,sparse,reactive,38.45161290322581,24.93548387096774,4.222090967741936,437.4516129032258,0.0,11.222903225806453,5.905645161290322,62
growth,high,low,dense,proactive,16.403225806451612,5.258064516129032,0.5310806451612904,411.69354838709677,10.619469026548673,10.323064516129032,5.500645161290323,62
growth,high,low,dense,reactive,37.435483870967744,21.838709677419356,3.9970383870967745,428.9032258064516,0.0,11.273548387096774,6.918387096774193,62
growth,high,low,sparse,proactive,11.741935483870968,3.870967741935484,0.397241935483871,397.9032258064516,5.082417582417582,11.235322580645162,7.155322580645161,62
growth,high,low,sparse,reactive,37.38709677419355,23.741935483870968,4.089438387096774,421.38709677419354,0.0,11.76032258064516,7.891129032258065,62
growth,high,mid,dense,proactive,17.451612903225808,6.032258064516129,0.5777903225806451,435.4193548387097,7.6709796672828094,9.45258064516129,3.165,62
growth,high,mid,dense,reactive,41.0,24.0,4.4145650000000005,454.01612903225805,0.0,10.417741935483871,4.650967741935484,62
growth,high,mid,sparse,proactive,12.548387096774194,4.225806451612903,0.4269516129032258,404.53225806451616,4.241645244215938,11.006129032258064,5.938225806451613,62
growth,high,mid,sparse,reactive,38.03225806451613,24.758064516129032,4.164427903225806,428.0967741935484,0.0,11.539193548387097,6.7380645161290325,62
growth,low,high,dense,proactive,18.467741935483872,5.838709677419355,0.6367258064516129,699.4032258064516,2.096069868995633,8.783709677419356,1.6229032258064517,62
growth,low,high,dense,reactive,62.37096774193548,40.58064516129032,6.854202580645161,739.8387096774194,0.0,9.366935483870968,2.5380645161290323,62
growth,low,high,sparse,proactive,13.419354838709678,3.9516129032258065,0.4648548387096774,625.5483870967741,1.5625,10.870322580645162,5.425806451612903,62
growth,low,high,sparse,reactive,56.53225806451613,38.854838709677416,6.247837741935483,667.8387096774194,0.0,11.204193548387096,5.882258064516129,62
growth,low,low,dense,proactive,16.951612903225808,5.387096774193548,0.5751290322580646,622.6612903225806,4.471931493815414,10.640645161290323,6.0075806451612905,62
growth,low,low,dense,reactive,53.274193548387096,35.38709677419355,5.740260322580645,655.5645161290323,0.0,11.238548387096774,6.875322580645161,62
growth,low,low,sparse,proactive,12.161290322580646,3.5161290322580645,0.4185967741935484,601.7741935483871,2.519893899204244,11.454354838709676,7.509677419354839,62
growth,low,low,sparse,reactive,52.91935483870968,35.61290322580645,5.839782258064516,641.6290322580645,0.0,11.756290322580645,7.907258064516129,62
growth,low,mid,dense,proactive,17.725806451612904,5.82258064516129,0.6066774193548387,657.0,3.1847133757961785,9.798225806451613,3.7409677419354836,62
growth,low,mid,dense,reactive,55.95161290322581,36.61290322580645,6.08149564516129,691.7258064516129,0.0,10.386290322580646,4.639838709677419,62
growth,low,mid,sparse,proactive,12.790322580645162,3.6451612903225805,0.4406129032258065,611.741935483871,2.3959646910466583,11.222741935483871,6.300806451612903,62
growth,low,mid,sparse,reactive,54.82258064516129,36.83870967741935,6.033305483870968,653.0483870967741,0.0,11.533387096774193,6.720322580645161,62
growth,medium,high,dense,proactive,17.983870967741936,5.82258064516129,0.6101451612903226,548.5645161290323,4.2152466367713,8.611612903225806,1.3201612903225806,62
growth,medium,high,dense,reactive,50.32258064516129,30.85483870967742,5.498519193548387,576.9354838709677,0.0,9.393064516129032,2.5498387096774193,62
growth,medium,high,sparse,proactive,12.919354838709678,4.0,0.4451290322580645,491.0967741935484,2.3720349563046192,10.751612903225807,5.233870967741935,62
growth,medium,high,sparse,reactive,44.516129032258064,29.048387096774192,4.889445806451613,521.3064516129032,0.0,11.222096774193549,5.891935483870968,62
growth,medium,low,dense,proactive,16.822580645161292,5.580645161290323,0.5539193548387097,488.5806451612903,8.533077660594438,10.475645161290323,5.744516129032259,62
growth,medium,low,dense,reactive,42.70967741935484,26.048387096774192,4.5577296774193545,511.01612903225805,0.0,11.280645161290321,6.928709677419355,62
growth,medium,low,sparse,proactive,12.338709677419354,3.9516129032258065,0.4199838709677419,472.80645161290323,4.183006535947712,11.33548387096774,7.301612903225807,62
growth,medium,low,sparse,reactive,42.774193548387096,28.241935483870968,4.694784677419355,501.9193548387097,0.0,11.771290322580645,7.931774193548387,62
growth,medium,mid,dense,proactive,17.64516129032258,6.032258064516129,0.5912419354838709,516.0967741935484,6.032906764168191,9.606935483870968,3.4317741935483874,62
growth,medium,mid,dense,reactive,46.24193548387097,28.306451612903224,5.002934838709678,540.3387096774194,0.0,10.413548387096775,4.6658064516129025,62
growth,medium,mid,sparse,proactive,12.85483870967742,4.193548387096774,0.4395322580645162,480.6774193548387,3.5131744040150563,11.106612903225807,6.109677419354839,62
growth,medium,mid,sparse,reactive,43.5,29.14516129032258,4.77512435483871,510.14516129032256,0.0,11.543387096774195,6.752419354838709,62
introduction,high,high,dense,proactive,13.112903225806452,3.903225806451613,0.4467096774193548,385.7096774193548,4.059040590405904,7.336935483870968,-0.7808064516129032,62
introduction,high,high,dense,reactive,36.274193548387096,23.419354838709676,3.9048920967741934,408.0967741935484,0.0,8.296451612903226,0.7483870967741937,62
introduction,high,high,sparse,proactive,8.370967741935484,3.4516129032258065,0.29038709677419355,331.80645161290323,1.348747591522158,9.751612903225807,3.3133870967741936,62
introduction,high,high,sparse,reactive,29.14516129032258,21.20967741935484,3.211280322580645,350.9516129032258,0.0,10.264032258064516,4.050806451612903,62
introduction,high,low,dense,proactive,11.629032258064516,3.0483870967741935,0.38883870967741935,346.258064516129,6.796116504854369,9.245645161290323,3.536451612903226,62
introduction,high,low,dense,reactive,29.177419354838708,17.177419354838708,3.1465204838709675,364.35483870967744,0.0,10.274193548387096,5.147096774193549,62
introduction,high,low,sparse,proactive,7.612903225806452,2.903225806451613,0.25643548387096776,312.3225806451613,5.720338983050848,10.551612903225807,5.665645161290322,62
introduction,high,low,sparse,reactive,26.596774193548388,18.29032258064516,2.9419738709677423,331.0483870967742,0.0,10.95032258064516,6.242903225806452,62
introduction,high,mid,dense,proactive,12.483870967741936,3.532258064516129,0.42246774193548386,368.741935483871,5.038759689922481,8.21951612903226,0.9353225806451613,62
introduction,high,mid,dense,reactive,32.16129032258065,20.387096774193548,3.4564582258064513,388.30645161290323,0.0,9.191935483870967,2.4653225806451613,62
introduction,high,mid,sparse,proactive,7.919354838709677,3.1129032258064515,0.2701290322580645,322.8709677419355,3.8696537678207736,10.128870967741936,4.155322580645161,62
introduction,high,mid,sparse,reactive,28.06451612903226,19.93548387096774,3.1073812903225804,342.48387096774195,0.0,10.56241935483871,4.783709677419354,62
introduction,low,high,dense,proactive,14.274193548387096,4.580645161290323,0.4932903225806452,585.2741935483871,1.92090395480226,7.683709677419355,-0.11032258064516126,62
introduction,low,high,dense,reactive,53.306451612903224,38.11290322580645,5.79502064516129,623.5806451612904,0.0,8.234677419354838,0.7132258064516129,62
introduction,low,high,sparse,proactive,10.064516129032258,4.564516129032258,0.3463225806451613,502.43548387096774,2.564102564102564,9.958870967741936,3.6609677419354836,62
introduction,low,high,sparse,reactive,41.91935483870968,31.43548387096774,4.627402580645162,534.5,0.0,10.235322580645162,4.021774193548387,62
introduction,low,low,dense,proactive,12.758064516129032,3.4838709677419355,0.438,528.4193548387096,2.9077117572692797,9.638548387096774,4.228548387096774,62
introduction,low,low,dense,reactive,39.403225806451616,25.5,4.2826082258064515,554.6290322580645,0.0,10.21758064516129,5.089677419354839,62
introduction,low,low,sparse,proactive,8.870967741935484,3.6451612903225805,0.3026935483870968,474.93548387096774,3.8181818181818183,10.695967741935483,5.912419354838709,62
introduction,low,low,sparse,reactive,38.435483870967744,29.177419354838708,4.281301612903226,504.2741935483871,0.0,10.940967741935484,6.2454838709677425,62
introduction,low,mid,dense,proactive,13.790322580645162,4.306451612903226,0.4748709677419355,561.9032258064516,2.456140350877193,8.584838709677419,1.602258064516129,62
introduction,low,mid,dense,reactive,46.903225806451616,32.03225806451613,5.0813769354838705,593.241935483871,0.0,9.116129032258065,2.3770967741935483,62
introduction,low,mid,sparse,proactive,9.258064516129032,3.8870967741935485,0.3180967741935484,490.11290322580646,2.7874564459930316,10.298064516129033,4.4430645161290325,62
introduction,low,mid,sparse,reactive,40.20967741935484,30.193548387096776,4.457829838709677,521.4193548387096,0.0,10.564354838709678,4.809032258064517,62
introduction,medium,high,dense,proactive,14.048387096774194,4.693548387096774,0.4824193548387097,458.6290322580645,2.8702640642939152,7.567096774193549,-0.3851612903225806,62
introduction,medium,high,dense,reactive,42.806451612903224,28.596774193548388,4.624199677419355,487.30645161290323,0.0,8.283548387096776,0.7287096774193549,62
introduction,medium,high,sparse,proactive,8.483870967741936,3.4193548387096775,0.292483870967742,393.6774193548387,2.2813688212927756,9.865645161290322,3.491290322580645,62
introduction,medium,high,sparse,reactive,32.62903225806452,24.258064516129032,3.6102082258064514,416.9193548387097,0.0,10.262419354838709,4.057903225806451,62
introduction,medium,low,dense,proactive,12.161290322580646,3.403225806451613,0.41303225806451616,412.56451612903226,4.509283819628647,9.461935483870967,3.893548387096774,62
introduction,medium,low,dense,reactive,32.435483870967744,20.20967741935484,3.5015720967741935,433.33870967741933,0.0,10.298709677419355,5.175967741935485,62
introduction,medium,low,sparse,proactive,8.064516129032258,3.096774193548387,0.27261290322580645,372.35483870967744,5.2,10.629516129032258,5.79274193548387,62
introduction,medium,low,sparse,reactive,30.822580645161292,21.870967741935484,3.406701451612903,394.93548387096774,0.0,10.966935483870968,6.259516129032257,62
introduction,medium,mid,dense,proactive,12.709677419354838,3.596774193548387,0.43370967741935484,438.8709677419355,3.807106598984772,8.429354838709678,1.2753225806451614,62
introduction,medium,mid,dense,reactive,37.45161290322581,24.56451612903226,4.037602741935483,463.46774193548384,0.0,9.186612903225807,2.4361290322580644,62
introduction,medium,mid,sparse,proactive,8.435483870967742,3.338709677419355,0.28893548387096774,384.64516129032256,3.2504780114722758,10.238225806451613,4.332096774193548,62
introduction,medium,mid,sparse,reactive,31.629032258064516,22.467741935483872,3.4962911290322576,407.16129032258067,0.0,10.589193548387096,4.8220967741935485,62
maturity,high,high,dense,proactive,23.35483870967742,5.741935483870968,0.8010967741935484,592.0483870967741,2.9696132596685083,8.606774193548388,0.7603225806451613,62
maturity,high,high,dense,reactive,58.064516129032256,31.661290322580644,6.524246612903226,620.7903225806451,0.0,9.429354838709678,2.1588709677419353,62
maturity,high,high,sparse,proactive,17.5,4.516129032258065,0.6021129032258065,507.35483870967744,2.488479262672811,11.056451612903226,4.993870967741936,62
maturity,high,high,sparse,reactive,46.41935483870968,26.129032258064516,5.3406641935483865,530.3870967741935,0.0,11.651451612903225,6.023064516129033,62
maturity,high,low,dense,proactive,21.822580645161292,5.064516129032258,0.7266935483870969,524.8225806451613,7.317073170731707,10.364516129032259,4.880645161290323,62
maturity,high,low,dense,reactive,51.29032258064516,26.580645161290324,5.7092416129032255,548.5806451612904,0.0,11.198709677419355,6.203064516129033,62
maturity,high,low,sparse,proactive,16.951612903225808,4.516129032258065,0.5740161290322581,470.66129032258067,4.9476688867745,11.908387096774195,7.812741935483871,62
maturity,high,low,sparse,reactive,43.54838709677419,23.580645161290324,4.996627096774194,490.56451612903226,0.0,12.545967741935485,8.852741935483872,62
maturity,high,mid,dense,proactive,22.677419354838708,5.5,0.7681129032258065,557.516129032258,4.836415362731152,9.531129032258063,2.4741935483870967,62
maturity,high,mid,dense,reactive,55.03225806451613,29.64516129032258,6.135095483870968,584.1290322580645,0.0,10.338225806451613,3.815806451612903,62
maturity,high,mid,sparse,proactive,16.967741935483872,4.370967741935484,0.5794032258064515,487.5967741935484,3.70722433460076,11.50725806451613,6.1046774193548385,62
maturity,high,mid,sparse,reactive,44.774193548387096,24.64516129032258,5.142118387096774,509.1290322580645,0.0,12.124193548387098,7.1285483870967745,62
maturity,low,high,dense,proactive,23.903225806451612,5.306451612903226,0.8254838709677419,889.016129032258,2.0242914979757085,8.921129032258065,1.3070967741935482,62
maturity,low,high,dense,reactive,81.01612903225806,50.03225806451613,9.19416322580645,941.1129032258065,0.0,9.428548387096775,2.164193548387097,62
maturity,low,high,sparse,proactive,17.758064516129032,4.080645161290323,0.6126290322580645,762.8225806451613,2.17983651226158,11.29225806451613,5.429354838709678,62
maturity,low,high,sparse,reactive,64.04838709677419,38.54838709677419,7.438869032258064,803.2258064516129,0.0,11.661290322580646,6.063548387096774,62
