phase,policy,run_index,total_interruption_ms,total_handovers,ping_pong_events,service_success_rate_pct
introduction,reactive,17,87348.63,797,563,0.0
introduction,reactive,18,94730.62,899,545,0.0
introduction,reactive,19,143204.87,1277,976,0.0
introduction,reactive,20,161155.16,1465,963,0.0
introduction,reactive,21,150956.0,1351,1037,0.0
introduction,reactive,22,191952.33,1752,1211,0.0
introduction,reactive,23,157809.4,1418,1077,0.0
introduction,reactive,24,221644.03,2017,1447,0.0
introduction,reactive,25,115721.99,1032,758,0.0
introduction,reactive,26,129318.92,1182,744,0.0
introduction,reactive,27,117359.2,1048,764,0.0
introduction,reactive,28,154390.27,1417,948,0.0
introduction,reactive,29,122564.04,1099,814,0.0
introduction,reactive,30,175440.98,1604,1110,0.0
introduction,reactive,31,99871.46,895,620,0.0
introduction,reactive,32,115557.34,1062,622,0.0
introduction,reactive,33,107340.64,962,705,0.0
introduction,reactive,34,129452.31,1193,772,0.0
introduction,reactive,35,111750.72,1010,752,0.0
introduction,reactive,36,147372.72,1350,907,0.0
maturity,proactive,1,17973.0,526,143,3.6121673003802277
maturity,proactive,2,21205.0,619,134,3.231017770597738
maturity,proactive,3,17740.0,520,139,3.8461538461538463
maturity,proactive,4,21670.0,629,123,2.384737678855326
maturity,proactive,5,18322.0,534,132,2.9962546816479403
maturity,proactive,6,22546.0,656,138,2.7439024390243905
maturity,proactive,7,16809.0,498,136,5.421686746987952
maturity,proactive,8,21339.0,634,141,5.83596214511041
maturity,proactive,9,16446.0,485,131,4.742268041237113
maturity,proactive,10,21103.0,622,146,4.662379421221865
maturity,proactive,11,16667.0,490,125,4.285714285714286
maturity,proactive,12,21497.0,628,140,3.343949044585987
maturity,proactive,13,17394.0,518,155,6.177606177606178
maturity,proactive,14,20737.0,626,143,7.987220447284344
maturity,proactive,15,17497.0,517,147,5.029013539651837
maturity,proactive,16,21759.0,646,151,5.572755417956656
maturity,proactive,17,18241.0,533,150,3.189493433395872
maturity,proactive,18,22407.0,654,161,3.058103975535168
maturity,proactive,19,18844.0,543,112,1.289134438305709
maturity,proactive,20,25566.0,739,166,1.7591339648173208
maturity,proactive,21,19124.0,551,113,1.2704174228675136
maturity,proactive,22,26977.0,778,176,1.4138817480719794
maturity,proactive,23,19661.0,567,121,1.4109347442680775
maturity,proactive,24,28634.0,826,191,1.4527845036319613
maturity,proactive,25,18613.0,541,119,2.5878003696857674
maturity,proactive,26,25137.0,732,173,2.8688524590163933
maturity,proactive,27,18776.0,545,119,2.385321100917431
maturity,proactive,28,26313.0,761,177,1.8396846254927726
maturity,proactive,29,19544.0,563,130,1.2433392539964476
maturity,proactive,30,28425.0,822,212,1.824817518248175
maturity,proactive,31,18195.0,533,125,3.75234521575985
maturity,proactive,32,24318.0,727,171,6.740027510316368
maturity,proactive,33,18426.0,535,124,2.4299065420560746
maturity,proactive,34,25864.0,760,190,4.2105263157894735
maturity,proactive,35,19090.0,552,130,1.8115942028985508
maturity,proactive,36,27261.0,794,195,2.8967254408060454
maturity,reactive,1,194066.97,1670,1001,0.0
maturity,reactive,2,216101.39,1938,1187,0.0
maturity,reactive,3,198763.43,1709,1018,0.0
maturity,reactive,4,223306.15,1996,1183,0.0
maturity,reactive,5,205064.92,1765,1010,0.0
maturity,reactive,6,243503.3,2171,1298,0.0
maturity,reactive,7,157291.42,1357,747,0.0
maturity,reactive,8,180747.6,1634,880,0.0
maturity,reactive,9,163642.07,1415,802,0.0
maturity,reactive,10,185798.54,1673,904,0.0
maturity,reactive,11,169753.1,1471,799,0.0
maturity,reactive,12,198664.95,1781,975,0.0
maturity,reactive,13,137021.29,1192,626,0.0
maturity,reactive,14,154833.22,1409,702,0.0
maturity,reactive,15,140811.38,1225,648,0.0
maturity,reactive,16,165150.58,1497,801,0.0
maturity,reactive,17,146633.28,1272,701,0.0
maturity,reactive,18,173925.73,1565,826,0.0
maturity,reactive,19,240308.4,2078,1305,0.0
maturity,reactive,20,272675.84,2402,1453,0.0
maturity,reactive,21,248915.09,2144,1333,0.0
maturity,reactive,22,302961.3,2664,1670,0.0
maturity,reactive,23,256144.97,2206,1380,0.0
maturity,reactive,24,326534.84,2852,1804,0.0
maturity,reactive,25,198524.72,1723,1011,0.0
maturity,reactive,26,226080.07,2003,1121,0.0
maturity,reactive,27,205566.12,1782,1047,0.0
maturity,reactive,28,243552.39,2157,1256,0.0
maturity,reactive,29,213584.46,1853,1112,0.0
maturity,reactive,30,265936.35,2341,1403,0.0
maturity,reactive,31,172769.6,1508,836,0.0
maturity,reactive,32,199139.78,1771,946,0.0
maturity,reactive,33,177999.99,1551,880,0.0
maturity,reactive,34,215225.34,1915,1037,0.0
maturity,reactive,35,184487.88,1606,919,0.0
maturity,reactive,36,230577.57,2035,1137,0.0
