origin,destination,policy,mean_handovers,mean_interruption_ms,mean_latency_violations,mean_throughput_mbps,mean_sinr_db,flight_count
Ansan,GimpoHub,proactive,8.333333333333334,291.6666666666667,465.3333333333333,13.59611111111111,10.143333333333333,18
Ansan,GimpoHub,reactive,38.05555555555556,4331.067222222223,487.55555555555554,13.865,10.522777777777778,18
Anyang,GimpoHub,proactive,26.666666666666668,909.0555555555555,589.9444444444445,8.925,1.3399999999999999,18
Anyang,GimpoHub,reactive,53.0,5586.767222222222,601.5,10.297777777777778,3.2305555555555556,18
Anyang,Hanam,proactive,18.52777777777778,636.3333333333334,718.1111111111111,10.580555555555556,5.517777777777777,36
Anyang,Hanam,reactive,69.44444444444444,7727.997222222223,766.6388888888889,10.913611111111111,6.081944444444444,36
Bucheon,IncheonHub,proactive,12.055555555555555,413.0,359.27777777777777,10.645,4.740555555555556,18
Bucheon,IncheonHub,reactive,39.611111111111114,4824.177777777778,379.5,11.118888888888888,5.680000000000001,18
Bucheon,Songdo,proactive,5.777777777777778,189.44444444444446,203.11111111111111,16.871666666666666,16.52111111111111,18
Bucheon,Songdo,reactive,13.5,1330.92,212.11111111111111,17.207222222222224,16.89888888888889,18
Bucheon,Yongin,proactive,30.944444444444443,1063.888888888889,989.3333333333334,8.684444444444445,0.8699999999999999,18
Bucheon,Yongin,reactive,80.05555555555556,8645.005,1028.6666666666667,9.62,2.0944444444444446,18
Gangnam,GimpoHub,proactive,16.333333333333332,555.6944444444445,628.8055555555555,9.28138888888889,2.4627777777777777,36
Gangnam,GimpoHub,reactive,50.30555555555556,5507.443611111111,657.1666666666666,9.985833333333334,3.441666666666667,36
Gangnam,Hanam,proactive,6.5,204.5,205.38888888888889,14.33111111111111,13.457777777777778,18
Gangnam,Hanam,reactive,13.61111111111111,1357.937222222222,204.83333333333334,15.261666666666665,14.372777777777777,18
Gangnam,IncheonHub,proactive,25.72222222222222,881.1111111111111,864.2777777777778,9.955277777777777,3.2069444444444444,36
Gangnam,IncheonHub,reactive,73.91666666666667,8216.233888888888,903.6111111111111,10.675277777777778,4.2313888888888895,36
Gangnam,Pangyo,proactive,3.2222222222222223,112.77777777777777,103.83333333333333,13.491666666666667,11.500555555555556,18
Gangnam,Pangyo,reactive,10.38888888888889,1132.3494444444445,114.05555555555556,13.763333333333332,11.956666666666667,18
GimpoCity,Pangyo,proactive,29.5,1027.388888888889,970.5,8.335,1.001111111111111,18
GimpoCity,Pangyo,reactive,96.55555555555556,11005.603333333333,1023.2222222222222,8.98611111111111,1.9988888888888887,18
GimpoCity,Seongnam,proactive,29.27777777777778,1009.3888888888889,945.8888888888889,7.575555555555555,-0.4027777777777778,18
GimpoCity,Seongnam,reactive,82.72222222222223,9313.980555555556,1000.1111111111111,8.171666666666667,0.6922222222222223,18
GimpoCity,Yeouido,proactive,9.555555555555555,302.5,422.6666666666667,9.593333333333334,2.45,18
GimpoCity,Yeouido,reactive,35.333333333333336,4181.271111111111,444.5,10.191666666666666,3.7166666666666663,18
GimpoHub,Ansan,proactive,8.833333333333334,309.1666666666667,460.55555555555554,13.56388888888889,9.934444444444445,18
GimpoHub,Ansan,reactive,44.833333333333336,5185.6883333333335,493.8333333333333,13.826666666666666,10.373888888888889,18
GimpoHub,Bucheon,proactive,7.666666666666667,258.1111111111111,176.94444444444446,4.672777777777778,-6.510000000000001,18
GimpoHub,Bucheon,reactive,26.333333333333332,3182.2283333333335,190.66666666666666,6.122777777777777,-3.646111111111111,18
GimpoHub,Gangnam,proactive,18.694444444444443,644.4027777777778,676.2222222222222,8.601666666666667,1.5711111111111111,72
GimpoHub,Gangnam,reactive,62.486111111111114,6928.400972222222,717.7777777777778,9.160138888888888,2.4681944444444444,72
GimpoHub,GimpoCity,proactive,2.2222222222222223,73.94444444444444,111.11111111111111,12.644166666666667,8.571944444444444,36
GimpoHub,GimpoCity,reactive,9.333333333333334,1118.358888888889,116.25,12.985555555555557,8.865833333333335,36
GimpoHub,Goyang,proactive,5.5,192.5,243.5,11.84388888888889,6.302777777777778,18
GimpoHub,Goyang,reactive,9.222222222222221,961.5644444444445,248.16666666666666,12.34388888888889,6.9961111111111105,18
GimpoHub,Icheon,proactive,35.72222222222222,1227.2777777777778,1190.7777777777778,9.108611111111111,2.1663888888888887,36
GimpoHub,Icheon,reactive,118.61111111111111,13193.579722222223,1269.3055555555557,9.851111111111111,3.384722222222222,36
GimpoHub,IncheonHub,proactive,8.495726495726496,291.35470085470087,240.33760683760684,11.333675213675214,6.952521367521368,234
GimpoHub,IncheonHub,reactive,22.299145299145298,2446.3931623931626,253.67521367521368,11.772435897435898,7.648675213675213,234
GimpoHub,Jamsil,proactive,14.416666666666666,497.875,537.5138888888889,8.337361111111111,-0.5388888888888889,72
GimpoHub,Jamsil,reactive,47.791666666666664,5209.672916666666,564.7222222222222,9.09138888888889,0.5226388888888889,72
GimpoHub,Namyangju,proactive,24.88888888888889,858.3333333333334,883.6111111111111,11.157222222222224,4.735555555555555,18
GimpoHub,Namyangju,reactive,63.72222222222222,6921.683333333333,920.7222222222222,11.907777777777778,5.897222222222222,18
GimpoHub,Pangyo,proactive,25.90740740740741,898.2407407407408,735.0555555555555,8.143888888888888,-0.03203703703703701,54
GimpoHub,Pangyo,reactive,73.16666666666667,8068.520925925926,771.925925925926,9.083333333333334,1.5622222222222222,54
GimpoHub,Suwon,proactive,18.77777777777778,636.7777777777778,493.0,14.66111111111111,13.46,18
GimpoHub,Suwon,reactive,45.94444444444444,4634.668888888889,511.6111111111111,15.239444444444445,14.162777777777778,18
GimpoHub,Uijeongbu,proactive,13.5,459.72222222222223,489.8333333333333,12.623888888888889,8.511666666666667,18
GimpoHub,Uijeongbu,reactive,29.27777777777778,3030.7044444444446,500.77777777777777,13.405555555555555,9.598888888888888,18
GimpoHub,Yeouido,proactive,10.438888888888888,355.77777777777777,337.39444444444445,4.981833333333333,-4.217333333333333,180
GimpoHub,Yeouido,reactive,36.61666666666667,4059.707,362.65555555555557,5.809722222222222,-2.897444444444444,180
GimpoHub,Yongin,proactive,29.0,993.2777777777778,1113.0555555555557,9.29277777777778,2.1405555555555558,18
GimpoHub,Yongin,reactive,101.66666666666667,11557.300555555556,1171.388888888889,9.75,2.9755555555555553,18
Hanam,Gangnam,proactive,6.5,210.88888888888889,213.0,14.08,13.436666666666667,18
Hanam,Gangnam,reactive,12.166666666666666,1194.5316666666668,213.77777777777777,15.141666666666667,14.462777777777777,18
Hanam,IncheonHub,proactive,18.833333333333332,622.1111111111111,841.4444444444445,12.909444444444444,7.892222222222222,18
Hanam,IncheonHub,reactive,55.5,5608.790555555555,865.1666666666666,13.635555555555555,8.689444444444444,18
Hanam,Jamsil,proactive,6.055555555555555,205.55555555555554,237.5,14.185,10.556111111111111,18
Hanam,Jamsil,reactive,15.555555555555555,1579.3138888888889,237.33333333333334,14.876666666666665,11.305555555555555,18
Hanam,Pangyo,proactive,5.833333333333333,204.16666666666666,330.72222222222223,13.927222222222222,11.557777777777778,18
Hanam,Pangyo,reactive,29.833333333333332,3126.3016666666667,353.3888888888889,14.103333333333333,11.876111111111111,18
Hanam,Suwon,proactive,12.5,437.5,644.9444444444445,11.206111111111111,5.087777777777777,18
Hanam,Suwon,reactive,49.888888888888886,5490.498333333333,681.2777777777778,11.635,5.648333333333333,18
Icheon,GimpoHub,proactive,33.44444444444444,1139.888888888889,992.9444444444445,10.238888888888889,3.5305555555555554,18
Icheon,GimpoHub,reactive,86.83333333333333,9212.017777777779,1030.7777777777778,11.151666666666666,4.751111111111111,18
IncheonHub,Ansan,proactive,21.666666666666668,755.7777777777778,694.7222222222222,12.745,8.571666666666665,18
IncheonHub,Ansan,reactive,69.05555555555556,8356.238333333335,745.9444444444445,12.942222222222222,9.01388888888889,18
IncheonHub,Gangnam,proactive,25.916666666666668,872.9027777777778,873.625,9.084166666666667,2.6254166666666667,72
IncheonHub,Gangnam,reactive,83.81944444444444,9331.046388888888,932.4444444444445,9.713333333333333,3.635138888888889,72
IncheonHub,GimpoHub,proactive,7.112847222222222,243.51909722222223,251.50868055555554,10.071631944444444,4.683975694444444,576
