run_id,seed,phase,speed_profile,altitude_profile,bs_density_profile,bs_spacing_km,generated_flights,run_duration_s,policy,completed_flights,total_flights,total_handovers,handover_attempts,radio_handover_successes,radio_handover_failures,service_continuity_successes,service_continuity_failures,ping_pong_events,control_latency_violations,precache_hits,mean_throughput_mbps,mean_sinr_db,total_interruption_ms
44,7,growth,low,high,sparse,5.5,31,1800.0,reactive,31,31,1585,1585,1585,0,0,1585,1084,18497,0,10.93,5.29,174002.0
45,7,growth,low,high,sparse,5.5,31,1800.0,proactive,31,31,427,427,427,0,5,422,139,17386,5,10.5,4.67,14830.0
46,7,growth,low,high,dense,3.0,31,1800.0,reactive,31,31,1813,1813,1813,0,0,1813,1171,20105,0,9.64,2.7,200786.96
47,7,growth,low,high,dense,3.0,31,1800.0,proactive,31,31,533,533,527,6,11,522,177,18992,13,8.94,1.65,18356.0
48,7,growth,medium,low,sparse,5.5,31,1800.0,reactive,31,31,1192,1192,1192,0,0,1192,784,13832,0,11.54,7.45,129685.42
49,7,growth,medium,low,sparse,5.5,31,1800.0,proactive,31,31,406,406,406,0,17,389,150,13086,17,10.96,6.59,13819.0
50,7,growth,medium,low,dense,3.0,31,1800.0,reactive,31,31,1176,1176,1176,0,0,1176,709,13864,0,11.48,7.12,126434.79
51,7,growth,medium,low,dense,3.0,31,1800.0,proactive,31,31,474,474,467,7,49,425,163,13257,51,10.58,5.85,15417.0
52,7,growth,medium,mid,sparse,5.5,31,1800.0,reactive,31,31,1232,1232,1232,0,0,1232,817,14092,0,11.27,6.2,133493.41
53,7,growth,medium,mid,sparse,5.5,31,1800.0,proactive,31,31,407,407,407,0,14,393,148,13328,14,10.71,5.35,13923.0
54,7,growth,medium,mid,dense,3.0,31,1800.0,reactive,31,31,1323,1323,1323,0,0,1323,805,14727,0,10.64,4.83,144251.46
55,7,growth,medium,mid,dense,3.0,31,1800.0,proactive,31,31,504,504,498,6,32,472,187,14047,34,9.7,3.48,16858.0
