run_id,seed,phase,speed_profile,altitude_profile,bs_density_profile,bs_spacing_km,generated_flights,run_duration_s,policy,completed_flights,total_flights,total_handovers,handover_attempts,radio_handover_successes,radio_handover_failures,service_continuity_successes,service_continuity_failures,ping_pong_events,control_latency_violations,precache_hits,mean_throughput_mbps,mean_sinr_db,total_interruption_ms
194,11,maturity,medium,low,dense,3.0,31,1800.0,reactive,31,31,2003,2003,2003,0,0,2003,1121,22330,0,10.75,5.18,226080.07
195,11,maturity,medium,low,dense,3.0,31,1800.0,proactive,31,31,732,732,726,6,21,711,173,21259,21,9.97,4.0,25137.0
196,11,maturity,medium,mid,sparse,5.5,31,1800.0,reactive,31,31,1782,1782,1782,0,0,1782,1047,20827,0,11.69,6.62,205566.12
197,11,maturity,medium,mid,sparse,5.5,31,1800.0,proactive,31,31,545,545,523,22,13,532,119,19715,13,11.19,5.74,18776.0
198,11,maturity,medium,mid,dense,3.0,31,1800.0,reactive,31,31,2157,2157,2157,0,0,2157,1256,23766,0,9.81,2.79,243552.39
199,11,maturity,medium,mid,dense,3.0,31,1800.0,proactive,31,31,761,761,753,8,14,747,177,22538,14,9.06,1.61,26313.0
200,11,maturity,medium,high,sparse,5.5,31,1800.0,reactive,31,31,1853,1853,1853,0,0,1853,1112,21676,0,11.11,5.37,213584.46
201,11,maturity,medium,high,sparse,5.5,31,1800.0,proactive,31,31,563,563,541,22,7,556,130,20501,7,10.61,4.47,19544.0
202,11,maturity,medium,high,dense,3.0,31,1800.0,reactive,31,31,2341,2341,2341,0,0,2341,1403,25210,0,8.84,1.17,265936.35
203,11,maturity,medium,high,dense,3.0,31,1800.0,proactive,31,31,822,822,815,7,15,807,212,23871,15,8.09,-0.05,28425.0
204,11,maturity,high,low,sparse,5.5,31,1800.0,reactive,31,31,1508,1508,1508,0,0,1508,836,16857,0,12.18,8.52,172769.6
205,11,maturity,high,low,sparse,5.5,31,1800.0,proactive,31,31,533,533,512,21,20,513,125,16044,20,11.56,7.45,18195.0
206,11,maturity,high,low,dense,3.0,31,1800.0,reactive,31,31,1771,1771,1771,0,0,1771,946,18757,0,10.73,5.16,199139.78
207,11,maturity,high,low,dense,3.0,31,1800.0,proactive,31,31,727,727,717,10,49,678,171,17920,49,9.79,3.74,24318.0
208,11,maturity,high,mid,sparse,5.5,31,1800.0,reactive,31,31,1551,1551,1551,0,0,1551,880,17451,0,11.68,6.6,177999.99
209,11,maturity,high,mid,sparse,5.5,31,1800.0,proactive,31,31,535,535,514,21,13,522,124,16587,13,11.06,5.52,18426.0
210,11,maturity,high,mid,dense,3.0,31,1800.0,reactive,31,31,1915,1915,1915,0,0,1915,1037,19954,0,9.79,2.76,215225.34
211,11,maturity,high,mid,dense,3.0,31,1800.0,proactive,31,31,760,760,749,11,32,728,190,19015,32,8.87,1.32,25864.0
212,11,maturity,high,high,sparse,5.5,31,1800.0,reactive,31,31,1606,1606,1606,0,0,1606,919,18176,0,11.11,5.36,184487.88
213,11,maturity,high,high,sparse,5.5,31,1800.0,proactive,31,31,552,552,531,21,10,542,130,17236,10,10.51,4.29,19090.0
214,11,maturity,high,high,dense,3.0,31,1800.0,reactive,31,31,2035,2035,2035,0,0,2035,1137,21161,0,8.84,1.15,230577.57
215,11,maturity,high,high,dense,3.0,31,1800.0,proactive,31,31,794,794,785,9,23,771,195,20111,23,7.92,-0.33,27261.0
